Words,Frequency
a,27
recurring,1
dream,7
troubles,1
santiago,27
young,1
and,31
adventurous,1
andalusian,1
shepherd,1
he,21
has,2
the,79
every,1
time,2
sleeps,1
under,2
sycamore,2
tree,3
that,8
grows,2
out,2
of,26
ruins,1
church,3
during,4
child,1
tells,4
him,11
to,37
seek,1
treasure,5
at,5
foot,2
egyptian,1
pyramids,7
consults,1
gypsy,1
woman,1
interpret,1
his,18
surprise,1
she,1
go,2
egypt,2
strange,1
magical,1
old,1
man,2
named,1
melchizedek,2
who,5
claims,1
be,1
king,1
salem,1
echoes,1
gypsyâ€™s,1
advice,1
it,4
is,8
personal,3
legend,3
journey,3
convinces,2
sell,1
flock,1
set,1
off,3
tangier,2
when,3
arrives,1
in,12
thief,1
robs,1
forcing,1
find,3
work,2
with,8
local,1
crystal,1
merchant,3
conservative,1
kindly,1
teaches,2
several,2
lessons,1
encourages,1
take,1
risks,2
business,1
pay,1
becomes,1
rich,1
just,1
year,1
decides,1
cash,1
earnings,1
continue,2
pursuing,2
joins,1
caravan,4
crossing,1
sahara,1
desert,6
toward,1
meets,1
an,6
englishman,4
studying,1
become,1
alchemist,10
learns,3
lot,1
from,3
for,4
one,3
secret,2
alchemy,2
written,1
on,6
stone,3
called,3
emerald,1
tablet,1
ultimate,1
creation,1
master,1
which,3
consists,1
solid,1
philosophers,1
can,2
turn,4
lead,2
gold,4
liquid,1
elixir,1
life,3
cure,1
all,3
ills,1
traveling,1
saharan,1
oasis,3
alfayoum,4
where,4
powerful,2
200yearold,1
resides,1
plans,2
ask,1
trade,1
as,4
turns,1
must,2
make,1
extended,1
stop,1
order,1
avoid,1
increasingly,1
violent,1
tribal,2
wars,1
taking,1
place,1
there,2
falls,1
love,1
fatima,3
lives,1
walk,1
witnesses,1
omen,1
portends,1
attack,2
historically,1
neutral,1
warns,1
chieftains,1
result,1
successfully,1
defends,1
itself,1
against,1
assault,1
gets,1
word,1
santiagoâ€™s,3
vision,2
invites,1
trip,2
into,4
about,4
importance,1
listening,1
heart,1
leave,1
finish,1
offers,1
accompany,1
next,2
leg,1
while,1
through,1
shares,1
much,1
wisdom,1
soul,1
world,1
they,2
are,1
mere,1
days,3
away,1
tribe,2
arab,1
soldiers,2
captures,1
them,3
exchange,1
hands,1
over,2
money,2
will,2
wind,3
within,1
three,2
feels,1
alarmed,1
because,1
no,2
idea,1
how,1
contemplates,1
third,1
day,1
communicates,1
sun,1
coaxes,1
help,1
create,1
tremendous,1
sandstorm,1
prays,1
hand,1
wrote,1
height,1
storm,2
disappears,1
reappears,1
other,1
side,1
camp,1
tribesmen,1
awed,1
by,3
power,1
ability,2
let,2
free,1
continues,1
travel,1
far,1
coptic,1
monastery,1
hours,1
demonstrates,1
using,1
philosopherâ€™s,1
gives,1
sends,1
begins,1
digging,1
but,1
two,1
men,2
accost,1
beat,1
speaks,1
decide,1
have,1
live,1
before,1
leaving,1
tries,1
illustrate,1
worthlessness,1
dreams,1
telling,1
own,1
concerns,1
buried,2
abandoned,1
spain,2
same,1
had,1
original,1
finally,1
understands,1
returns,1
chest,1
jewels,1
return,1
reunite,1
awaits,1
